PART NAME;PART NUMBER;;TOOLS;PART NUMBER;;;TOOL;PART NUMBER ;OBS;;;;;;TIPO TAREA;BARCODE
ACTUATOR ASSY- HYDROLOK;1003107-001;;28VDC POWER SUPPLY;355M03200001;PARA CAMBIO DE XDCR SIDESTICK;;ADAPTERS AIR DATA FLUSHING;98D34103002000;;;;;;;CONECTIVIDAD;T00NJB5G
ACTUATOR RECLINE;1003106-001C;;ACCESORIOS PARA MULTIMETRO ;TLK-225;;;AIR DATA ACCESORIES;ADA320-945;mangueras y adaptadores;SN:S59966;;;;;;
ADAPTER HEADSET;60074122;;ACOPLES RESERVORIOS HYD;LANAH-040;;;CAJA HERRAMIENTA;;;;;;;;;
ADF ANTENNA;615-2630-102;;ADAPTERS AIR DATA FLUSHING; 98D34103002000;;;DPS1000;101-01175;Barfield digital;Wifi: barfield;;;;;;
ALCOHOL;9002189;;AIR DATA ACCESORIES;ADA320-945;;;LIMPIEZA PITOT(NYLON);98D34103004001;;;;;;;;
ARMCAP;1002993-001CAJ;;Allen de Torque;PENDIENTE;;;MANGUERAS PITOT STATIC;;;;;;;;;
ARMCAP HINGE;1002688-001-CAJ;;BLEED ON WING ADAPTERS;99127-231;;;MAN�METRO ALTA/BAJA;;;;;;;;;
ARMREST ASSIST CAPT;TAAI4-404000-01;;BLEED TEST SET;99127B03;;;PITOT AND STATIC FLUSH;LANAH-063;MANGUERA Y ACOPLES PARA FLUSH;;;;;;;
BANDERA  COLOMBIANA PEQUEÑA ;LA-16-012;;CAPACITANCE BOX;R5406;;;;ADA320-845;mangueras y adaptadores;;;;;;;
BANDERA COLOMBIANA GRANDE;LA-11-107;;CONDUIT SLEEVE;EN6049-006-05-5-I9005;;;;;;;;;;;;
BLACK RUBBER BOOT(SENSOR TEMP BRAKES);63647;;COPA Y ALLEN 5/32 SLIDE;908218;;;;;;;;;;;;
BLIND WINDOW;D25271042;;COPAS mm;KIT COPAS MILIMETRICAS;;;;;;;;;;;;
BLOCK FRAME DIVIDER CLASS ;97-05-10413;;CRIMPING PLIERS;RCY21208;;;;;;;;;;;;
BLUE VARNISH SMALL;FINISH F69;;CRIMPING PLIERS;576784;;;;;;;;;;;;
BOLT CAP NLG WHEEL;AN3-3A;;CRIMPING TOOL;HT208;;;;;;;;;;;;
BOLT HUB MLG;NAS1304-07D;;CRIMPING TOOL;AD-1377;;;;;;;;;;;;
BOOMSET CONECTOR;64300-210;;DIGITAL PITOT STATIC TEST;101-01175;Barfield ;;;;;;;;;;;
BRAKE FAN ASSY;AE1502U02;;DINAMOMETER;97A27003000007;;;;;;;;;;;;
BRAKET FRAME DIVIDER CLASS;97-05-10261;;DMC TOOL KIT;DMC519;;;;;;;;;;;;
BRIDAS PLASTICAS;MS3367-4-9;;FUNCTION GENERATOR;4011A;;;;;;;;;;;;
BRIDAS PLASTICAS;NSA935401-03;;INSERT/EXTRACT BLUE/WHITE;M81969/14-03;;;;;;;;;;;;
BRIDAS PLASTICAS;BAC538K4;;INSULATION METER;1507;;;;;;;;;;;;
BRIDAS PLASTICAS NEGRAS;NSA935401-05;;KIT EXTRACTORES;EXD35;;;;;;;;;;;;
BROCHA;4017250;;LAPTOP INTELSAT;IFEC-FZ-55FZ02UKM;;;;;;;;;;;;
BUSHING FOODTRAY TABLE;43702005;;LAPTOP WIRELESS IFE;TOUGHBOOK-53 ;;;;;;;;;;;;
BUTT CONNECTOR(SPLICE);D-436-35;;LCR METER;885;;;;;;;;;;;;
BUTT CONNECTOR(SPLICE);D-436-37;;LOOP CONTROLLER;9240SI;;;;;;;;;;;;
BUTT CONNECTOR(SPLICE);NAS1388-1;;MEGHOMETER DIGITAL;5882;;;;;;;;;;;;
BUTT SPLICE;E0360RK2220;;MILLIOHMETER;M1-3AD17;;;;;;;;;;;;
BUTTON RECLINE;SP21651B;;MULTIMETRO FLUKE;117;;;;;;;;;;;;
CABLE RECLINE;SP21651C27-UNK;;NYLON FLUSHING;98D34103004001;;;;;;;;;;;;
CABLE TIE INSTALLATION TOOL;MS90387-1;;PORTABLE LAMP MILWAUKEE;MWK2136�259KT;;;;;;;;;;;;
CAMERA DOOR;8410B5-104-105;;POWER SUPPLY;GPE-3323;;;;;;;;;;;;
CAP BLANKING ADHESIVE;ASNA2879A050;;PULLEY ASSY;98A25207503000;;;;;;;;;;;;
CAP SHRINKABLE;NSA936603CC0100;;PULLEY ASSY;98A25207503000;;;;;;;;;;;;
CATCH MAGNETIC;246-29-703;;RDC;35RDC ;;;;;;;;;;;;
CB BUSH;A925290860000;;REMOVAL PHILLIPS TORQUE;98A53003500000;;;;;;;;;;;;
CEILING LIGHT;ABS1238-26-30b;;SIGNAL GEN-POCKET;HPG1MK2;;;;;;;;;;;;
CINTA ANTIFLAMA(PISOS BODEGA);ABS50006-4D;;SLEEVE IDENTIFICATION WIRE;NSA937201MR0600;;;;;;;;;;;;
Cinta encauchetar gris;7000006225;;TOOL SERVICE ACTUATOR;98F52107520001;;;;;;;;;;;;
CLIP ROPA COCKPIT;D2511034020000;;TORQUE SCREWDRIVER ;QDRIVER4;;;;;;;;;;;;
COCKPIT DOOR STRIKE CTR;AR4714-11;;TORX SET;T33220;;;;;;;;;;;;
COLLARIN;S4933959-531;;TRIM WHEEL LOCKING DEVICE;98D27403500000;;;;;;;;;;;;
COLLARIN BLANCO;S4933959-1;;WIRE STRIPER;45-2020;;;;;;;;;;;;
COLLARIN(ORANGE);SKYLOX-ORANGE;;WRENCH  ACCUMULATOR SERVICE;98F52107520001;;;;;;;;;;;;
CONDUIT ALTN BRAKE;D9244024638600;;;;;;;;;;;;;;;
CONECTOR RECEPTACLE GREEN, SIMILAR VT;E0237E09S03B;;;;;;;;;;;;;;;
CONNECTOR;NAS1388-5;;;;;;;;;;;;;;;
CONNECTOR LUZ COMPASS;E0511-01;;;;;;;;;;;;;;;
CONTACT CLEANER;03116;;;;;;;;;;;;;;;
CONTACTS SOCKET CONECTOR 8630-09S;EN3155-015F2018;;;;;;;;;;;;;;;
COTTER PIN;MS24665-153;;;;;;;;;;;;;;;
COTTER PIN WHEEL;MS24665-134;;;;;;;;;;;;;;;
COVER IPAD BOX(TAPA CON CHAPA);6-1178-06-000;;;;;;;;;;;;;;;
COVER PEDALS;D2721020100000;;;;;;;;;;;;;;;
COVER VACCUM  SOCKET A320 AFT;D25270128038009;;;;;;;;;;;;;;;
CUBIERTA LIBRO MR2;99029561;;;;;;;;;;;;;;;
CURTAIN TIE BACK;11155-270;;;;;;;;;;;;;;;
DECAL CAT 2 /3 COMPONENT;LA-10-241(99215256);;;;;;;;;;;;;;;
DECAL DAMAGE CHART;LA-GR-061;;;;;;;;;;;;;;;
DECAL INOPERATIVE;LA-13-155;;;;;;;;;;;;;;;
DECAL NO SENTARSE;10064983;;;;;;;;;;;;;;;
DECAL NO USAR;LA-13-155;;;;;;;;;;;;;;;
DEMO PACK;A2567081506800;;;;;;;;;;;;;;;
DEVCON;DEVCON-5;;;;;;;;;;;;;;;
DISPLAY CLEANER;ALG/CR215;;;;;;;;;;;;;;;
DUMMY CONNECTOR APU;E0052R14B12PNE;;;;;;;;;;;;;;;
EMERGENCY EXIT SIGN;10-1310-1;;;;;;;;;;;;;;;
END CAP RED;NSA936604ca0931;;;;;;;;;;;;;;;
END CAP RED;324485;;;;;;;;;;;;;;;
FASTENER LINING SEGURO GIRATORIO;ASNA2337-01;;;;;;;;;;;;;;;
FAUCET BAÑO;2980292100100;;;;;;;;;;;;;;;
FAUCET BAÑO CABINA NUEVA;2980372100100;;;;;;;;;;;;;;;
FIBERGLASS TAPE;SCOTCH 69;;;;;;;;;;;;;;;
FILTER WASHBASIN DRAIN VALVE;7600763;;;;;;;;;;;;;;;
